"","Harare","Huye","Iringa","Johanesburg","Jos","Kamembe","Kayonza","Kigali","Koulikoro","Lagos"
"16-SEP-1996",2.3,86.4,1.6,2.5,267.7,159,152.6,104.2,289.7,87.3
"16-OCT-1996",5.4,99.7,1.9,78.5,95.3,253.4,258.7,96.7,210.1,117.6
"16-NOV-1996",113.2,158.4,3.9,72.7,0,130.1,159,125.3,0.1,13.1
"16-DEC-1996",149,98,86.5,95.7,0,46.9,31,81.6,0,1.2
"16-JAN-1997",419,197.6,70.3,126.5,0,89.1,84,117.3,0,20.1
"15-FEB-1997",178.7,17.4,118,50.4,0,21.2,0.1,14,0.1,1.1
"16-MAR-1997",161.2,117.5,128,205.9,15.4,120.1,82.1,79.7,8.4,104.5
"16-APR-1997",86.6,191.4,99.4,48.7,123,195.4,192.1,171.9,184.1,156.8
"16-MAY-1997",1.9,139.6,10.9,68.8,146.6,152.4,97,120.2,219.3,190.5
"16-JUN-1997",0.3,20,2.1,2.3,200.5,137.9,70,31.3,278.6,393.5
"16-JUL-1997",1.6,3.3,1.9,4,194.2,129.6,78.4,9.3,219.7,119.3
"16-AUG-1997",0,14.9,0.6,5.5,257.3,148,97.5,24.1,266.7,89.2
"16-SEP-1997",17.8,20,0.3,44.5,258.4,108.8,72.1,23.8,266.2,187.7
"16-OCT-1997",30.2,216.9,14.1,30,99.5,195.2,215.1,127.4,205.9,278.5
"16-NOV-1997",111.7,192.4,90.4,97.4,0,181.1,265.1,141.6,17.1,48.8
"16-DEC-1997",66.6,170.9,292.2,108.5,0,114.5,105.2,143.6,0,45.6
"16-JAN-1998",304.4,205.8,224.9,152.6,0,106.2,99.7,138.2,0,25.6
"15-FEB-1998",90.8,145.8,174.3,96.1,0.7,59.6,34.2,106.4,0.8,24.4
"16-MAR-1998",132.3,198.2,124.6,38.5,20.9,134.3,85.4,134.6,15.1,35.9
"16-APR-1998",5.6,132.4,124,7.5,73.8,152.6,136.8,101.9,71.2,94.4
"16-MAY-1998",0.1,150.4,10.1,0,148.1,180.5,126.8,129.5,196.7,185
"16-JUN-1998",0.1,14.2,0.2,0,177.5,140.7,75.5,20.3,128.6,233
"16-JUL-1998",0.2,3.6,0.2,0,213.1,145.1,100.5,6.6,233.4,108.6
"16-AUG-1998",0,15,1.1,0,292.5,133.7,85.4,30.9,246.2,71.7
"16-SEP-1998",0.9,72.9,1.9,29.9,205.2,148.5,124.4,74.5,334,143.6
"16-OCT-1998",8.3,154.9,1.3,62.6,96.1,217.4,214.6,133.2,109.8,210.9
"16-NOV-1998",138.5,117.4,6.9,181.2,0,114.1,128.5,85.2,21.5,48.9
"16-DEC-1998",215.8,90.8,20.3,123.7,0,37.9,21.2,58.6,0,4.7
"16-JAN-1999",290.7,153.6,156.9,87.2,0,45.4,40.2,92.6,0,22.9
"15-FEB-1999",254.2,34.2,76.7,47.8,1.1,41.9,16.8,20.3,18,50.4
"16-MAR-1999",112.9,201.6,208.8,63.4,2.7,146.3,132.4,130.6,17.5,75.5
"16-APR-1999",9.2,116.8,97,34.8,29.5,126.1,97.6,71.5,52.6,153.6
"16-MAY-1999",0.5,48.2,11.1,27.7,100.7,140.7,101,46.2,89.9,113.9
"16-JUN-1999",0.1,0.5,3.5,4.2,179.8,115.4,53.3,1.3,144.9,222.4
"16-JUL-1999",1,0.1,0.6,0.3,212.4,108,57.4,0.4,225.4,321.6
"16-AUG-1999",5.1,89.8,2.3,1,296.1,214.4,173.7,73.4,283.5,160.7
"16-SEP-1999",3.6,74.3,3.9,13,269,162.4,149,72.3,283.8,162.9
"16-OCT-1999",31.6,120.5,1.7,15.9,163.2,217.4,228.3,97.9,264.8,207.3
"16-NOV-1999",120,208,13.7,41.9,0,112.2,135.7,132.4,12,47.6
"16-DEC-1999",106,114.6,88.7,133.6,0,61.1,43,92.2,0,8.3
"16-JAN-2000",227.6,82.6,83.1,141.3,0,26.1,15.8,58,0,3.5
"15-FEB-2000",266,81,71,209.4,0,35,13.7,52.3,0.1,3.7
"16-MAR-2000",153.2,192.2,142.4,150.9,3.4,84.9,55.2,119.2,5.2,55.5
"16-APR-2000",68.6,128.9,59.6,41.1,16.5,137.5,130.2,116.3,55.2,120.6
"16-MAY-2000",15,99.8,20.4,26.7,164.6,132.6,89.1,78.3,135.1,123.2
"16-JUN-2000",3.7,4,0.8,6.4,216.7,122.9,85.9,6.9,216.1,233.2
"16-JUL-2000",1.3,1.5,0.3,2.8,249.9,124.4,74.6,2.9,235.4,160.6
"16-AUG-2000",0.1,8.7,3.6,1.6,300.5,165.9,124.6,15.7,272.1,115.2
"16-SEP-2000",1,33,0.7,31.6,235.6,129.8,138.8,56.9,216.5,222.2
"16-OCT-2000",30,126.5,1.8,108.9,105.5,199,290.2,123.4,195,131.7
"16-NOV-2000",164.5,201.5,68.7,142.4,0,129.4,129.5,135.9,3.4,13.6
"16-DEC-2000",162.3,147.1,227.3,145.2,0,56.5,37.5,115.2,0,3.1
"16-JAN-2001",110.4,212.7,208.2,54.6,0,44.8,30.6,143.7,0,11
"15-FEB-2001",324.5,92.5,99.7,91.2,1,65.8,41.9,68,4,5.6
"16-MAR-2001",237.2,241.3,84.1,64.7,14.3,126.4,87.7,142.3,36.1,34.6
"16-APR-2001",17.8,112.5,64.8,70.7,85.3,165.3,149.8,90.4,110,150.3
"16-MAY-2001",4.6,84.5,10,47.4,141.3,158.8,114.9,60.8,141.8,184
"16-JUN-2001",0.4,15.6,0.8,4.2,163.8,151.3,88.6,5.9,172.3,231.2
"16-JUL-2001",4.9,20.4,0.3,0.4,253.7,146.3,97.3,37.7,239.2,77.1
"16-AUG-2001",0.3,79.3,0.3,11.4,276.2,185.5,137.1,56.5,254.6,50.7
"16-SEP-2001",1.1,117.8,5.4,48.6,222.4,170.6,149.4,117.1,261.3,208.2
"16-OCT-2001",13.2,142.1,2.8,110.1,59,196.8,193.9,119.7,216.3,64.5
"16-NOV-2001",149,197.7,8,145,0,130.2,153.3,178.8,12,12
"16-DEC-2001",244.6,120.2,151,152.9,0,57.6,37.5,95.4,0,2.6
"16-JAN-2002",77,209.6,209.3,98.3,0,44.7,31.1,129.5,0,42.4
"15-FEB-2002",56.8,106.5,107.9,71.7,1,66.2,47.2,87.3,4.6,1.2
"16-MAR-2002",54.9,166.5,207.1,47.9,14.3,128.1,113.9,121.5,34.5,75.1
"16-APR-2002",90.8,177.6,58.5,25,57.7,165,146,126.5,110.5,137.2
"16-MAY-2002",0.2,110.5,3.9,56.5,116.9,158.6,107.1,115.3,151.8,112.3
"16-JUN-2002",4,1.8,1,9.8,158.3,151.7,93.9,2.6,172.3,339.4
"16-JUL-2002",0.4,0.2,0.2,0,251,145.9,95.9,0.4,242.3,194.5
"16-AUG-2002",0.4,6.4,1.7,28.6,251,185.8,142.5,9.9,276.6,114.5
"16-SEP-2002",7.3,23.1,3.4,5.2,228.3,171.2,165.4,28.1,336.6,99.3
"16-OCT-2002",62.1,103.5,8,47.8,71.9,198,217.3,90.2,136,235.1
"16-NOV-2002",74.2,184,26.9,24.2,0,130.3,158.8,129.7,11.1,31.9
"16-DEC-2002",115.8,147.9,131.5,138.3,0,59.8,70.6,129.1,0,0.7
"16-JAN-2003",146.7,123.9,156,123.1,0,45.4,40.1,73.4,0,54.3
"15-FEB-2003",158.3,92.9,91.3,95.8,1,66.8,56.2,55.4,4,37.4
"16-MAR-2003",227.5,171.2,85.9,63.9,14.3,127,104.9,125.9,35.9,33.3
"16-APR-2003",7.9,195.3,47.6,8.3,70,164.7,141.7,142.8,165.7,189.7
"16-MAY-2003",10.5,162.6,29.5,1.2,167.3,159.4,124.8,123.4,155.6,119
"16-JUN-2003",3.6,5.2,0.2,8.1,207.1,150.7,80.6,8.1,196.1,267.5
"16-JUL-2003",0.5,1.4,0,3,252.4,146.1,95.9,3.1,259.6,144.7
"16-AUG-2003",0,35.7,1,3.1,278.6,186.6,157.2,45.7,273.5,137.8
"16-SEP-2003",3.2,103.1,3.6,7.5,216.8,171.8,171.1,106,254.1,268.6
"16-OCT-2003",56.2,174.8,15.8,67.8,63.4,195.5,166.9,124.2,135.4,218.1
"16-NOV-2003",79.2,122.7,5,53.4,0,129.9,149.4,87.9,11,81.6
"16-DEC-2003",111,99.2,120.1,55.3,0,58.3,47.8,74,0,6.7
"16-JAN-2004",211.5,145.5,135.3,113.7,0,46.6,61.2,92,0,40.3
"15-FEB-2004",170,72.4,187.5,157.1,1,65.5,38.1,49.5,3.7,25.9
"16-MAR-2004",218.4,73.7,135.7,104.8,14.3,126.9,96.3,58.3,32.9,24.8
"16-APR-2004",35.6,85.6,115.6,49.8,57.4,166,165.8,72.4,106.4,142
"16-MAY-2004",0.3,34.4,0.1,8.3,160.1,158.2,106.3,33.1,152.7,231.7
"16-JUN-2004",0.2,3.7,0.5,1.5,171.9,151,86.2,4.4,157.1,202.3
"16-JUL-2004",1.4,1.6,0,0.7,228.4,145.7,93.2,2.6,258,198.7
"16-AUG-2004",0.2,28.7,0.7,1.9,258.2,187.6,170.2,38,274,100.8
"16-SEP-2004",2.2,86.6,8.7,4.7,203.7,169.7,135.8,88,248.8,305.3
"16-OCT-2004",82.9,90.2,11.5,35.7,66.1,195.8,175.4,72.4,76.1,224.2
"16-NOV-2004",63.5,135.6,43.3,58.1,0,131.1,175.5,101.9,12,47.1
"16-DEC-2004",207,132.5,161.4,167.8,0,57.6,36.7,99.3,0,2.7
"16-JAN-2005",172.8,205.9,157.8,146.7,0,44.7,29.9,120.8,0,3.7
"15-FEB-2005",108.1,71.5,143.1,63.7,1,65.5,37.9,59.1,9,45
"16-MAR-2005",80.3,166.6,129.8,70.2,14.3,126.5,90.2,130.5,1,131.4
"16-APR-2005",17,63.6,54.6,75.3,71.6,165,147.9,51.9,110,85.4
"16-MAY-2005",0.8,116.5,9.5,3.7,134.7,159.1,118.7,76.2,177.2,175.3
"16-JUN-2005",1.3,10.6,0.2,0.5,211.6,150.8,84,8.3,190,221.4
"16-JUL-2005",2.3,0.2,0.3,0,243.7,145.6,91,0.2,156.7,164.9
"16-AUG-2005",0,27.7,0.7,0.1,248.3,185.1,131.9,49.7,221.1,85.9
"16-SEP-2005",1.7,71.2,1.3,0.9,223.4,170.5,150.6,107,275.7,142
"16-OCT-2005",2.1,95.6,2.8,24.4,64.9,195.7,175.8,91.3,132.4,114.9
"16-NOV-2005",88,103.8,11,63.4,0,129.2,132.7,53,12,33.8
"16-DEC-2005",281.1,110.2,49.8,65.4,0,57.5,35.8,53,0,2.9
"16-JAN-2006",190.1,95.4,72.1,167.1,0,44.7,29.6,60.9,0,32.1
"15-FEB-2006",201.1,130.8,103.6,154.7,1,65.7,41.1,89.1,6,13.9
"16-MAR-2006",165.4,151.7,116.6,84.1,14.3,128.8,123.8,114.3,11.4,70.9
"16-APR-2006",15.9,175.8,101.9,44.6,57.4,165.7,158.6,116.2,10.7,94.1
"16-MAY-2006",7.3,185.4,21.4,5.1,129.2,159.4,122.9,140.7,157,237.7
"16-JUN-2006",2.7,3.3,0.5,1.6,158.4,150.5,79.4,7,190,211.1
"16-JUL-2006",0.1,15.4,1.3,0,220.1,145.2,86.4,12,254.8,116.3
"16-AUG-2006",0.1,18.8,1.5,17.5,276,187.6,166.8,36.3,274,81.9
"16-SEP-2006",0,82.8,5.3,1,238.9,171.4,163.6,72.7,246.9,258.9
"16-OCT-2006",53,86.4,7.3,26.8,96.3,195.6,171.9,90.8,138.2,152.5
"16-NOV-2006",118,273.5,57.3,89.1,0,129.7,147.4,214,12,64.9
"16-DEC-2006",158,153.8,267.5,131.3,0,59.1,57.8,151.5,0,0.2
"16-JAN-2007",209.2,116.3,185.4,45.8,0,44.6,28.5,85.5,0,0.2
"15-FEB-2007",118.1,123.3,134.9,14.8,1,65.4,38.1,115.1,4,23.9
"16-MAR-2007",94,113.5,115.8,22.7,14.3,126.2,85.1,71.5,5.2,58.2
"16-APR-2007",35.4,153.9,43.3,32.2,67.6,165.4,152.6,129.5,109.2,106.3
"16-MAY-2007",1.1,135.2,7.3,0,142.8,159.2,120.6,112.8,157,244.2
"16-JUN-2007",1.2,36.6,0.5,18.6,170.7,151.2,86.6,29,203.3,287.2
"16-JUL-2007",0,23.6,0.5,0.4,230.5,146.7,116.5,46.9,258,264.1
"16-AUG-2007",3.7,10.6,6.7,0.1,268.9,185.8,142.3,31.1,282.6,125.4
"16-SEP-2007",8.2,112.7,1.1,46,201.4,171.8,173,161.7,263.7,241.7
"16-OCT-2007",18.5,108.2,9.6,130.8,59,195.5,170.3,90.3,136,201.4
"16-NOV-2007",167.1,192.8,10.1,64.3,0,130.3,157,125.7,12,61.6
"16-DEC-2007",233.9,170.8,132.1,110.2,0,57.4,35,99,0,23.7
"16-JAN-2008",278.4,162.4,110.3,157.4,0,46.1,51.3,75.2,0,4.8
"15-FEB-2008",39.5,155.8,181.5,31.1,1,65.4,36.6,79.7,4,32.1
"16-MAR-2008",64.6,170.6,161.3,54.7,14.3,126.1,83.8,117.3,37,75.9
"16-APR-2008",7.5,147.8,55.5,14.2,43.1,164.6,140.1,122.1,62.4,81.9
"16-MAY-2008",4.3,47,9.1,26.4,132.6,158.7,112.2,55.4,59.1,219.1
"16-JUN-2008",0.1,33.4,0.1,8.6,143.1,151.5,89.9,25.8,181.8,338
"16-JUL-2008",0.3,2.1,0.2,0.9,389.7,145.7,91.9,4,258,309.2
"16-AUG-2008",4.2,6.5,0.3,0.5,259.6,185.6,138.7,10,285.8,109
"16-SEP-2008",2.8,70.8,0.4,0.1,213.7,173.1,197,120.4,202.7,242
"16-OCT-2008",7.5,124.5,7.5,35.4,79.2,197.3,197.2,119.9,136.3,149
"16-NOV-2008",111.9,162.8,40.4,133.7,0,130.4,158.8,121.5,1.1,40.5
"16-DEC-2008",121.7,89.4,109.9,94.8,0,57.4,35,71.5,0,33
"16-JAN-2009",177.8,104.6,87.1,129.7,0,45,35,87.6,0,22.6
"15-FEB-2009",121.8,162.5,150,112.6,1,67.3,60.3,102.4,4,34.7
"16-MAR-2009",143.8,200,157.7,55.8,14.3,126.1,83.8,112.7,34.9,53
"16-APR-2009",10.2,191,26.5,6.5,57.5,165,147,147.7,110,175
"16-MAY-2009",24.3,77.6,5.6,20,155,158.1,103.9,84.8,157,163.5
"16-JUN-2009",0.2,41.7,0.2,28.6,164.1,150,74.4,24.4,190,332.2
"16-JUL-2009",1.6,1.8,0.1,6.4,271,145.8,93.8,5.9,202.3,191.2
"16-AUG-2009",1.4,9,0.4,4.8,430.8,185.7,141.4,22.8,248.9,77
"16-SEP-2009",0.6,56.6,1.3,34.5,228.6,171.4,165.9,103,177.6,103.6
"16-OCT-2009",14.6,110.4,1.3,82.9,61.8,195.3,167,132.8,99.3,211.9
"16-NOV-2009",122,166.1,52.4,118.7,0,130.5,160.6,115.1,14.5,83.6
"16-DEC-2009",178.3,130.6,202,109,0,58.6,52.2,93.7,0,3.7
"16-JAN-2010",164.1,148,129.7,161.2,0,45,35.7,112.1,0,11.8
"15-FEB-2010",158,237.8,118.3,86.3,1,66.8,56.6,205,3.8,30.4
"16-MAR-2010",94.9,205.4,97.7,67,2.4,126.6,92,139.7,19.2,97.8
"16-APR-2010",67.5,127.9,44.6,75.6,107.7,165.1,148.1,122.4,77.9,97
"16-MAY-2010",10.3,184,7.6,49.3,133.8,158.7,113.3,111.4,94.1,164.5
"16-JUN-2010",0.1,30.5,0.9,0.5,142.5,151.3,88.6,45.6,254.7,250.6
"16-JUL-2010",0.3,3.5,0.1,0,258,146.7,104.3,6.8,256.3,196.3
"16-AUG-2010",0.4,9.8,1.2,0,270.3,185,130.6,25.5,197.3,145.5
"16-SEP-2010",1,74.8,0.4,0.3,204.2,170.7,153,74.4,228.1,326.2
"16-OCT-2010",15.9,121.6,0.5,18.7,112.8,196.2,182,104,277.9,204.4
"16-NOV-2010",117.4,127.2,23.1,96.2,0,129.5,140.3,105,1.1,124.6
"16-DEC-2010",167.5,88,133.2,123.3,0,58.6,52.2,74.6,0,8.3
